;Time(ms);Axle_Torque_Feedback(N.m);;Time(ms);Speed_Feedback(m/s)
1760710764;12536,35001;-596;;4839,989901;0,049281627
1760710764;12565,55009;-602;;4849,839926;0,049281627
1760710764;12585,72006;-602;;4859,829903;0,078850597
1760710764;12606,65011;-586;;4869,859934;0,078850597
1760710764;12625,33021;-606;;4879,940033;0,078850597
1760710764;12645,49017;-572;;4889,989853;0,098563254
1760710764;12667,26017;-556;;4899,960041;0,098563254
1760710764;12696,14005;-582;;4910,08997;0,098563254
1760710764;12715,67011;-592;;4920,219898;0,088706933
1760710764;12735,49008;-586;;4930,299997;0,088706933
1760710764;12757,18999;-610;;4940,399885;0,088706933
1760710764;12775,32005;-572;;4949,709892;0,088706933
1760710764;12805,21011;-600;;4959,72991;0,088706933
1760710764;12825,15001;-586;;4969,709873;0,088706933
1760710764;12845,98017;-614;;4979,749918;0,088706933
1760710764;12875,39005;-590;;4989,80999;0,088706933
1760710764;12905,82013;-594;;4999,879837;0,088706933
1760710764;12935,5402;-604;;5010,079861;0,098563254
1760710764;12966,02011;-610;;5020,190001;0,098563254
1760710764;12995,63003;-592;;5030,220032;0,098563254
1760710764;13026,67999;-594;;5040,359974;0,108419575
1760710764;13055,71008;-582;;5050,159931;0,108419575
1760710764;13085,61015;-582;;5060,299873;0,108419575
1760710764;13115,58008;-618;;5069,619894;0,118275903
1760710764;13145,50018;-606;;5079,679966;0,118275903
1760710764;13175,98009;-592;;5089,740038;0,118275903
1760710764;13205,51014;-616;;5099,709988;0,108419575
1760710764;13235,56018;-582;;5109,969854;0,108419575
1760710764;13265,4202;-600;;5120,059967;0,108419679
1760710764;13295,18008;-606;;5130,110025;0,108419679
1760710764;13325,43015;-590;;5140,219927;0,098563343
1760710764;13353,86014;-608;;5150,110006;0,098563343
1760710764;13373,96002;-610;;5160,009861;0,098563343
1760710764;13393,97001;-590;;5170,049906;0,098563343
1760710764;13415,4501;-594;;5180,130005;0,108419679
1760710764;13444,39006;-576;;5190,179825;0,108419679
1760710764;13474,82014;-598;;5199,620008;0,108419679
1760710765;13503,73006;-578;;5209,759951;0,108419679
1760710765;13525,01011;-610;;5220,079899;0,108419679
1760710765;13544,87014;-596;;5230,069876;0,108419679
1760710765;13564,47005;-606;;5246,569872;0,108419679
